Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: exp. Euler
0 0 1
18.5  -5.9508 -1.19641
18.6  -6.06868 -0.596668
18.7  -6.12717 0.0129375
18.8  -6.12529 0.626362
18.9  -6.06268 1.23748
19  -5.93955 1.84017
19.1  -5.75677 2.42831
19.2  -5.51577 2.99594
19.3  -5.21858 3.53724
19.4  -4.86783 4.04661
19.5  -4.46668 4.51875
19.6  -4.01881 4.94872
19.7  -3.52842 5.33193
19.8  -3.00013 5.66427
19.9  -2.43899 5.9421
20  -1.85039 6.16232
20.1  -1.24004 6.32238
20.2  -0.613905 6.42032
20.3  0.021865 6.45479
20.4  0.660987 6.4251
20.5  1.29711 6.33116
20.6  1.92386 6.17355
20.7  2.53495 5.9535
20.8  3.12419 5.67285
20.9  3.68558 5.33408
21  4.21337 4.94027
21.1  4.70212 4.49506
21.2  5.14674 4.00263
21.3  5.54256 3.46765
21.4  5.88536 2.89526
21.5  6.17146 2.291
21.6  6.3977 1.66075
21.7  6.56151 1.01068
21.8  6.66094 0.3472
21.9  6.69467 -0.323108
22  6.66202 -0.993568
22.1  6.56299 -1.65747
22.2  6.39823 -2.30812
22.3  6.16907 -2.93895
22.4  5.87747 -3.54353
22.5  5.52603 -4.11569
22.6  5.11797 -4.64954
22.7  4.6571 -5.13954
22.8  4.14776 -5.58058
22.9  3.59479 -5.968
23  3.00352 -6.29768
23.1  2.37967 -6.56604
23.2  1.7293 -6.7701
23.3  1.05879 -6.90754
23.4  0.374745 -6.97665
23.5  -0.31608 -6.97645
23.6  -1.00682 -6.90661
23.7  -1.69057 -6.76753
23.8  -2.36049 -6.56028
23.9  -3.00981 -6.28665
24  -3.63199 -5.94908
24.1  -4.22067 -5.55066
24.2  -4.76985 -5.09514
24.3  -5.27387 -4.58681
24.4  -5.72751 -4.03055
24.5  -6.12603 -3.43171
24.6  -6.46522 -2.79613
24.7  -6.74144 -2.13
24.8  -6.95168 -1.43988
24.9  -7.09356 -0.732562
25  -7.1654 -0.0150681
25.1  -7.16619 0.705461
25.2  -7.09564 1.42182
25.3  -6.95416 2.12683
25.4  -6.74289 2.81338
25.5  -6.46366 3.47453
25.6  -6.119 4.10355
25.7  -5.7121 4.69403
25.8  -5.24676 5.23989
25.9  -4.72743 5.73552
26  -4.15907 6.17575
26.1  -3.54718 6.55596
26.2  -2.8977 6.87213
26.3  -2.21698 7.12085
26.4  -1.5117 7.29938
26.5  -0.788817 7.40567
26.6  -0.0554788 7.43839
26.7  0.681027 7.39695
26.8  1.41336 7.2815
26.9  2.13418 7.09293
27  2.83627 6.83286
27.1  3.51253 6.50364
27.2  4.15613 6.10832
27.3  4.76053 5.65064
27.4  5.31955 5.13496
27.5  5.82746 4.56624
27.6  6.279 3.94998
27.7  6.66948 3.29221
27.8  6.9948 2.59935
27.9  7.25148 1.87824
28  7.43674 1.13599
28.1  7.54849 0.379959
28.2  7.58537 -0.382325
28.3  7.54676 -1.14326
28.4  7.43282 -1.89521
28.5  7.24444 -2.63064
28.6  6.98326 -3.34212
28.7  6.65166 -4.02246
28.8  6.25273 -4.66475
28.9  5.79025 -5.26245
29  5.26863 -5.80943
29.1  4.6929 -6.30005
29.2  4.06865 -6.72925
29.3  3.40197 -7.09253
29.4  2.69938 -7.38605
29.5  1.9678 -7.60668
29.6  1.21445 -7.75198
29.7  0.446789 -7.82027
29.8  -0.327561 -7.81064
29.9  -1.10088 -7.72297
30  -1.86545 -7.5579
30.1  -2.61359 -7.31685
30.2  -3.33779 -7.00203
30.3  -4.03075 -6.61636
30.4  -4.68546 -6.16352
30.5  -5.29527 -5.64783
30.6  -5.85395 -5.07429
30.7  -6.35579 -4.44848
30.8  -6.79562 -3.7765
30.9  -7.16887 -3.06497
31  -7.47164 -2.32088
31.1  -7.7007 -1.5516
31.2  -7.85357 -0.764766
31.3  -7.92852 0.0318058
31.4  -7.92459 0.830167
31.5  -7.84161 1.62233
31.6  -7.6802 2.40036
31.7  -7.44178 3.15642
31.8  -7.12853 3.8829
31.9  -6.74337 4.57245
32  -6.28997 5.21808
32.1  -5.7727 5.8132
32.2  -5.19655 6.35175
32.3  -4.56714 6.82818
32.4  -3.89061 7.23758
32.5  -3.17362 7.57567
32.6  -2.42323 7.83891
32.7  -1.64684 8.02447
32.8  -0.852155 8.13031
32.9  -0.0470702 8.15517
33  0.760396 8.09862
33.1  1.56218 7.96101
33.2  2.35027 7.74354
33.3  3.11674 7.44819
33.4  3.85389 7.07774
33.5  4.5543 6.6357
33.6  5.21086 6.12635
33.7  5.81693 5.55463
33.8  6.36633 4.9261
33.9  6.85345 4.24693
34  7.27327 3.5238
34.1  7.62145 2.76384
34.2  7.89436 1.97458
34.3  8.08909 1.16385
34.4  8.20352 0.339715
34.5  8.23635 -0.489615
34.6  8.18706 -1.31585
34.7  8.05597 -2.13072
34.8  7.84421 -2.92604
34.9  7.55372 -3.69382
35  7.18724 -4.42631
35.1  6.74828 -5.11612
35.2  6.24106 -5.75625
35.3  5.6705 -6.34019
35.4  5.04219 -6.86198
35.5  4.36227 -7.31628
35.6  3.63745 -7.6984
35.7  2.87485 -8.00437
35.8  2.08204 -8.23097
35.9  1.26688 -8.37578
36  0.437449 -8.43719
36.1  -0.397976 -8.41441
36.2  -1.23106 -8.3075
36.3  -2.05348 -8.11737
36.4  -2.857 -7.84577
36.5  -3.63354 -7.49523
36.6  -4.37529 -7.06913
36.7  -5.07479 -6.57157
36.8  -5.72495 -6.00741
36.9  -6.31919 -5.38214
37  -6.85146 -4.70193
37.1  -7.31633 -3.97346
37.2  -7.70903 -3.20393
37.3  -8.0255 -2.40097
37.4  -8.26243 -1.57255
37.5  -8.41732 -0.726906
37.6  -8.48846 0.127533
37.7  -8.47499 0.982235
37.8  -8.3769 1.82865
37.9  -8.19502 2.6583
38  -7.93101 3.46285
38.1  -7.58736 4.23421
38.2  -7.16738 4.9646
38.3  -6.67512 5.64665
38.4  -6.11538 6.27345
38.5  -5.49363 6.83864
38.6  -4.81598 7.33645
38.7  -4.08911 7.76179
38.8  -3.3202 8.11029
38.9  -2.51686 8.37832
39  -1.68707 8.56307
39.1  -0.839057 8.66256
39.2  0.0187186 8.67564
39.3  0.877705 8.60205
39.4  1.72932 8.44237
39.5  2.56504 8.19807
39.6  3.37649 7.87145
39.7  4.15552 7.46564
39.8  4.89429 6.98459
39.9  5.58537 6.43297
40  6.22175 5.8162
40.1  6.79701 5.14034
40.2  7.30529 4.41206
40.3  7.74141 3.63857
40.4  8.10091 2.82752
40.5  8.38007 1.98698
40.6  8.57597 1.12531
40.7  8.68654 0.251086
40.8  8.71055 -0.626957
40.9  8.64761 -1.50004
41  8.49824 -2.35944
41.1  8.26379 -3.19652
41.2  7.94648 -4.00288
41.3  7.54936 -4.77042
41.4  7.07629 -5.4914
41.5  6.53188 -6.15853
41.6  5.92148 -6.76508
41.7  5.25107 -7.30489
41.8  4.52729 -7.77245
41.9  3.75728 -8.163
42  2.94868 -8.47252
42.1  2.10951 -8.6978
42.2  1.24812 -8.83647
42.3  0.373091 -8.88702
42.4  -0.50686 -8.84882
42.5  -1.38294 -8.72214
42.6  -2.2464 -8.50812
42.7  -3.08857 -8.20879
42.8  -3.90103 -7.82701
