1.36	0	0.0546692	0	0.210938
1.37	0	0.0566174	0	0.200257
1.38	0	0.0584529	0	0.189186
1.39	0	0.0601723	0	0.177748
1.4	0	0.0617723	0	0.165969
1.41	0	0.0632499	0	0.153878
1.42	0	0.0646024	0	0.141503
1.43	0	0.0658274	0	0.128877
1.44	0	0.066923	0	0.116031
1.45	0	0.0678874	0	0.103
1.46	0	0.0687193	0	0.0898177
1.47	0	0.0694178	0	0.0765212
1.48	0	0.0699823	0	0.063147
1.49	0	0.0704125	0	0.0497327
1.5	0	0.0707086	0	0.0363161
1.51	0	0.0708712	0	0.0229356
1.52	0	0.0709012	0	0.00962928
1.53	0	0.0707999	0	-0.00356472
1.54	0	0.070569	0	-0.0166087
1.55	0	0.0702106	0	-0.0294655
1.56	0	0.069727	0	-0.0420988
1.57	0	0.0691211	0	-0.0544732
1.58	0	0.0683959	0	-0.0665543
1.59	0	0.0675549	0	-0.0783093
1.6	0	0.0666018	0	-0.0897064
1.61	0	0.0655406	0	-0.100716
1.62	0	0.0643756	0	-0.111309
1.63	0	0.0631114	0	-0.12146
1.64	0	0.0617528	0	-0.131144
1.65	0	0.0603047	0	-0.140338
1.66	0	0.0587723	0	-0.149021
1.67	0	0.0571611	0	-0.157176
1.68	0	0.0554766	0	-0.164785
1.69	0	0.0537245	0	-0.171835
1.7	0	0.0519104	0	-0.178311
1.71	0	0.0500403	0	-0.184205
1.72	0	0.0481202	0	-0.189508
1.73	0	0.0461561	0	-0.194213
1.74	0	0.0441539	0	-0.198315
1.75	0	0.0421198	0	-0.201813
1.76	0	0.0400599	0	-0.204704
1.77	0	0.03798	0	-0.206989
1.78	0	0.0358864	0	-0.208672
1.79	0	0.033785	0	-0.209754
1.8	0	0.0316816	0	-0.210243
1.81	0	0.0295821	0	-0.210143
1.82	0	0.0274923	0	-0.209463
1.83	0	0.0254179	0	-0.208212
1.84	0	0.0233643	0	-0.2064
1.85	0	0.0213371	0	-0.204039
1.86	0	0.0193415	0	-0.201139
1.87	0	0.0173828	0	-0.197714
1.88	0	0.015466	0	-0.193778
1.89	0	0.0135959	0	-0.189344
1.9	0	0.0117774	0	-0.184429
1.91	0	0.010015	0	-0.179048
1.92	0	0.00831305	0	-0.173217
1.93	0	0.00667592	0	-0.166952
1.94	0	0.00510763	0	-0.160271
1.95	0	0.00361208	0	-0.153192
1.96	0	0.00219299	0	-0.145732
1.97	0	0.000853897	0	-0.137909
1.98	0	-0.000401853	0	-0.129742
1.99	0	-0.0015711	0	-0.12125
2	0	-0.00265088	0	-0.112451
