0	1	2		
1.035000			3.076950	4.779309
1.040000	4.174376	6.547925		
1.045000			3.077165	4.790168
1.050000	4.205150	6.595936		
1.055000			3.077375	4.801120
1.060000	4.235925	6.644058		
1.065000			3.077583	4.812166
1.070000	4.266703	6.692291		
1.075000			3.077787	4.823307
1.080000	4.297483	6.740637		
1.085000			3.077988	4.834542
1.090000	4.328265	6.789095		
1.095000			3.078185	4.845872
1.100000	4.359049	6.837668		
1.105000			3.078380	4.857297
1.110000	4.389834	6.886356		
1.115000			3.078572	4.868816
1.120000	4.420622	6.935161		
1.125000			3.078761	4.880430
1.130000	4.451412	6.984082		
1.135000			3.078946	4.892139
1.140000	4.482203	7.033122		
1.145000			3.079129	4.903944
1.150000	4.512996	7.082280		
1.155000			3.079310	4.915844
1.160000	4.543791	7.131558		
1.165000			3.079487	4.927839
1.170000	4.574587	7.180958		
1.175000			3.079662	4.939929
1.180000	4.605386	7.230479		
1.185000			3.079835	4.952115
1.190000	4.636186	7.280123		
1.195000			3.080004	4.964397
1.200000	4.666988	7.329891		
1.205000			3.080172	4.976775
1.210000	4.697791	7.379783		
1.215000			3.080336	4.989248
1.220000	4.728596	7.429801		
1.225000			3.080499	5.001818
1.230000	4.759402	7.479946		
1.235000			3.080659	5.014483
1.240000	4.790211	7.530219		
1.245000			3.080817	5.027244
1.250000	4.821020	7.580620		
1.255000			3.080972	5.040102
1.260000	4.851832	7.631150		
1.265000			3.081125	5.053056
1.270000	4.882644	7.681811		
1.275000			3.081276	5.066106
1.280000	4.913459	7.732604		
1.285000			3.081425	5.079253
1.290000	4.944274	7.783529		
1.295000			3.081572	5.092496
1.300000	4.975092	7.834587		
1.305000			3.081717	5.105836
1.310000	5.005910	7.885780		
1.315000			3.081859	5.119272
1.320000	5.036730	7.937108		
1.325000			3.082000	5.132805
1.330000	5.067552	7.988572		
1.335000			3.082139	5.146435
1.340000	5.098374	8.040174		
1.345000			3.082275	5.160161
1.350000	5.129198	8.091914		
1.355000			3.082410	5.173985
1.360000	5.160024	8.143793		
1.365000			3.082543	5.187905
1.370000	5.190851	8.195812		
1.375000			3.082674	5.201922
1.380000	5.221679	8.247972		
1.385000			3.082804	5.216037
1.390000	5.252508	8.300275		
1.395000			3.082932	5.230248
1.400000	5.283338	8.352720		
1.405000			3.083058	5.244557
1.410000	5.314170	8.405310		
1.415000			3.083182	5.258963
1.420000	5.345003	8.458045		
1.425000			3.083304	5.273466
1.430000	5.375838	8.510925		
1.435000			3.083425	5.288066
1.440000	5.406673	8.563953		
1.445000			3.083545	5.302764
1.450000	5.437510	8.617128		
1.455000			3.083662	5.317559
1.460000	5.468347	8.670453		
1.465000			3.083779	5.332452
1.470000	5.499186	8.723927		
1.475000			3.083893	5.347442
1.480000	5.530026	8.777553		
1.485000			3.084006	5.362530
1.490000	5.560868	8.831330		
1.495000			3.084118	5.377715
1.500000	5.591710	8.885260		
1.505000			3.084228	5.392998
1.510000	5.622553	8.939344		
1.515000			3.084337	5.408378
1.520000	5.653398	8.993582		
1.525000			3.084444	5.423857
1.530000	5.684243	9.047976		
1.535000			3.084550	5.439433
1.540000	5.715090	9.102528		
1.545000			3.084655	5.455106
1.550000	5.745937	9.157236		
1.555000			3.084758	5.470878
1.560000	5.776786	9.212104		
1.565000			3.084860	5.486748
1.570000	5.807636	9.267131		
1.575000			3.084961	5.502715
1.580000	5.838486	9.322319		
1.585000			3.085060	5.518780
1.590000	5.869338	9.377668		
1.595000			3.085158	5.534944
1.600000	5.900190	9.433180		
1.605000			3.085255	5.551205
1.610000	5.931044	9.488856		
1.615000			3.085351	5.567564
1.620000	5.961898	9.544696		
1.625000			3.085445	5.584022
1.630000	5.992754	9.600702		
1.635000			3.085538	5.600577
1.640000	6.023610	9.656874		
1.645000			3.085630	5.617231
1.650000	6.054467	9.713214		
1.655000			3.085721	5.633983
1.660000	6.085325	9.769722		
1.665000			3.085811	5.650833
1.670000	6.116184	9.826400		
1.675000			3.085900	5.667781
1.680000	6.147044	9.883248		
1.685000			3.085988	5.684828
1.690000	6.177905	9.940268		
1.695000			3.086074	5.701973
1.700000	6.208766	9.997460		
1.705000			3.086160	5.719216
1.710000	6.239629	10.054826		
1.715000			3.086244	5.736557
1.720000	6.270492	10.112366		
1.725000			3.086328	5.753997
1.730000	6.301356	10.170081		
1.735000			3.086410	5.771535
1.740000	6.332221	10.227973		
1.745000			3.086491	5.789171
1.750000	6.363087	10.286042		
1.755000			3.086572	5.806906
1.760000	6.393953	10.344289		
1.765000			3.086651	5.824740
1.770000	6.424821	10.402716		
1.775000			3.086730	5.842672
1.780000	6.455689	10.461323		
1.785000			3.086807	5.860702
1.790000	6.486558	10.520111		
1.795000			3.086884	5.878831
1.800000	6.517427	10.579082		
1.805000			3.086960	5.897059
1.810000	6.548298	10.638236		
1.815000			3.087034	5.915385
1.820000	6.579169	10.697574		
1.825000			3.087108	5.933809
1.830000	6.610040	10.757097		
1.835000			3.087181	5.952333
1.840000	6.640913	10.816807		
1.845000			3.087254	5.970954
1.850000	6.671786	10.876704		
1.855000			3.087325	5.989675
1.860000	6.702660	10.936788		
1.865000			3.087395	6.008494
1.870000	6.733535	10.997063		
1.875000			3.087465	6.027412
1.880000	6.764410	11.057527		
1.885000			3.087534	6.046429
1.890000	6.795286	11.118182		
1.895000			3.087602	6.065544
1.900000	6.826163	11.179030		
1.905000			3.087669	6.084758
1.910000	6.857040	11.240071		
1.915000			3.087736	6.104071
1.920000	6.887918	11.301305		
1.925000			3.087802	6.123483
1.930000	6.918797	11.362735		
1.935000			3.087866	6.142993
1.940000	6.949676	11.424361		
1.945000			3.087931	6.162602
1.950000	6.980556	11.486185		
1.955000			3.087994	6.182310
1.960000	7.011437	11.548206		
1.965000			3.088057	6.202117
1.970000	7.042318	11.610426		
1.975000			3.088119	6.222023
1.980000	7.073200	11.672846		
1.985000			3.088180	6.242028
1.990000	7.104082	11.735468		
1.995000			3.088241	6.262131
2.000000	7.134965	11.798291		
2.005000			3.088301	6.282334
2.010000	7.165849	11.861317		
2.015000			3.088360	6.302635
2.020000	7.196733	11.924548		
2.025000			3.088419	6.323035
2.030000	7.227618	11.987983		
2.035000			3.088477	6.343535
2.040000	7.258503	12.051624		
2.045000			3.088534	6.364133
2.050000	7.289389	12.115473		
2.055000			3.088590	6.384830
2.060000	7.320275	12.179529		
2.065000			3.088646	6.405626
2.070000	7.351162	12.243794		
2.075000			3.088702	6.426522
2.080000	7.382050	12.308269		
2.085000			3.088756	6.447516
2.090000	7.412938	12.372955		
2.095000			3.088811	6.468609
2.100000	7.443827	12.437853		
2.105000			3.088864	6.489801
2.110000	7.474716	12.502964		
2.115000			3.088917	6.511093
2.120000	7.505606	12.568289		
2.125000			3.088969	6.532483
2.130000	7.536496	12.633829		
2.135000			3.089021	6.553973
2.140000	7.567387	12.699584		
2.145000			3.089072	6.575561
2.150000	7.598278	12.765557		
2.155000			3.089123	6.597249
2.160000	7.629170	12.831747		
2.165000			3.089173	6.619036
2.170000	7.660062	12.898156		
2.175000			3.089222	6.640922
2.180000	7.690954	12.964786		
2.185000			3.089271	6.662907
2.190000	7.721848	13.031635		
2.195000			3.089320	6.684991
2.200000	7.752741	13.098707		
2.205000			3.089368	6.707175
2.210000	7.783635	13.166002		
2.215000			3.089415	6.729458
2.220000	7.814530	13.233520		
2.225000			3.089462	6.751839
2.230000	7.845425	13.301263		
2.235000			3.089508	6.774320
2.240000	7.876321	13.369232		
2.245000			3.089554	6.796901
2.250000	7.907217	13.437428		
2.255000			3.089599	6.819580
2.260000	7.938113	13.505852		
2.265000			3.089644	6.842359
2.270000	7.969010	13.574504		
2.275000			3.089689	6.865237
2.280000	7.999907	13.643386		
2.285000			3.089733	6.888214
2.290000	8.030805	13.712499		
2.295000			3.089776	6.911290
2.300000	8.061703	13.781844		
2.305000			3.089819	6.934466
2.310000	8.092602	13.851421		
2.315000			3.089861	6.957741
2.320000	8.123501	13.921232		
2.325000			3.089903	6.981115
2.330000	8.154400	13.991278		
2.335000			3.089945	7.004588
2.340000	8.185300	14.061560		
2.345000			3.089986	7.028161
2.350000	8.216201	14.132078		
2.355000			3.090027	7.051833
2.360000	8.247101	14.202834		
2.365000			3.090067	7.075604
2.370000	8.278002	14.273829		
2.375000			3.090107	7.099475
2.380000	8.308904	14.345063		
2.385000			3.090146	7.123445
