Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
21.3 -1.12123 0.313269
21.4 -1.10559 0.395068
21.5 -1.08588 0.471176
21.6 -1.06237 0.541196
21.7 -1.03537 0.604792
21.8 -1.0052 0.661692
21.9 -0.972186 0.711694
22 -0.936684 0.75466
22.1 -0.89904 0.790522
22.2 -0.859608 0.819282
22.3 -0.818742 0.841006
22.4 -0.776794 0.855827
22.5 -0.734108 0.863942
22.6 -0.691017 0.865608
22.7 -0.647845 0.861139
22.8 -0.604896 0.850903
22.9 -0.562458 0.835317
23 -0.520798 0.814841
23.1 -0.48016 0.789975
23.2 -0.440763 0.76125
23.3 -0.402799 0.729228
23.4 -0.366433 0.694487
23.5 -0.331799 0.657623
23.6 -0.299005 0.619238
23.7 -0.268125 0.579936
23.8 -0.239205 0.540317
23.9 -0.212262 0.500967
24 -0.187281 0.462455
24.1 -0.16422 0.425329
24.2 -0.143011 0.390103
24.3 -0.123559 0.357259
24.4 -0.105745 0.327238
24.5 -0.0894276 0.300435
24.6 -0.0744467 0.277197
24.7 -0.0606243 0.25782
24.8 -0.0477678 0.242543
24.9 -0.0356728 0.231547
25 -0.0241257 0.224953
25.1 -0.0129069 0.222824
25.2 -0.00179376 0.225157
25.3 0.00943631 0.231892
25.4 0.0210028 0.242907
25.5 0.0331193 0.258019
25.6 0.0459899 0.276993
25.7 0.0598074 0.299534
25.8 0.0747495 0.3253
25.9 0.0909772 0.353901
26 0.108632 0.384903
26.1 0.127833 0.417836
26.2 0.148677 0.452194
26.3 0.171234 0.487446
26.4 0.19555 0.523039
26.5 0.221641 0.558404
26.6 0.249496 0.592964
26.7 0.279075 0.626139
26.8 0.310308 0.65735
26.9 0.343097 0.686032
27 0.377317 0.711635
27.1 0.412813 0.73363
27.2 0.449406 0.751519
27.3 0.48689 0.764837
27.4 0.525038 0.773159
27.5 0.563601 0.776106
27.6 0.60231 0.773346
27.7 0.64088 0.764601
27.8 0.679014 0.749653
27.9 0.716401 0.728339
28 0.752725 0.700563
28.1 0.787662 0.666289
28.2 0.820889 0.62555
28.3 0.852084 0.578441
28.4 0.880928 0.525126
28.5 0.907112 0.465832
28.6 0.930338 0.400847
28.7 0.950322 0.330524
28.8 0.966799 0.255272
28.9 0.979521 0.175554
29 0.988267 0.0918854
29.1 0.992839 0.00482753
29.2 0.993069 -0.0850171
29.3 0.988818 -0.17701
29.4 0.979978 -0.270482
29.5 0.966476 -0.36474
29.6 0.948273 -0.459074
29.7 0.925364 -0.552761
29.8 0.897784 -0.645075
29.9 0.865599 -0.735291
30 0.828915 -0.822695
30.1 0.787872 -0.906587
30.2 0.742645 -0.98629
30.3 0.693444 -1.06116
30.4 0.640509 -1.13057
30.5 0.584112 -1.19397
30.6 0.524555 -1.25082
30.7 0.462163 -1.30064
30.8 0.397287 -1.34303
30.9 0.330297 -1.37762
31 0.261584 -1.40412
31.1 0.19155 -1.42229
31.2 0.12061 -1.43198
31.3 0.0491885 -1.43311
31.4 -0.0222885 -1.42565
31.5 -0.0933921 -1.40965
31.6 -0.163697 -1.38524
31.7 -0.232783 -1.35262
31.8 -0.300241 -1.31205
31.9 -0.365675 -1.26385
32 -0.428704 -1.20842
32.1 -0.488967 -1.14621
32.2 -0.546127 -1.07772
32.3 -0.59987 -1.00352
32.4 -0.649912 -0.924194
32.5 -0.695996 -0.840394
32.6 -0.737901 -0.752792
32.7 -0.775436 -0.66209
32.8 -0.808446 -0.569009
32.9 -0.836814 -0.474287
33 -0.860458 -0.378668
33.1 -0.879332 -0.282896
33.2 -0.893429 -0.187709
33.3 -0.90278 -0.0938313
33.4 -0.907448 -0.00196749
33.5 -0.907535 0.087204
33.6 -0.903174 0.173037
33.7 -0.894533 0.254925
33.8 -0.881809 0.332303
33.9 -0.865225 0.404657
34 -0.845034 0.471524
34.1 -0.821508 0.5325
34.2 -0.794942 0.58724
34.3 -0.765646 0.635463
34.4 -0.733946 0.676954
34.5 -0.700178 0.711564
34.6 -0.664684 0.739212
34.7 -0.627812 0.759884
34.8 -0.58991 0.773635
34.9 -0.551323 0.780586
35 -0.512391 0.78092
35.1 -0.473442 0.774885
35.2 -0.434795 0.762786
35.3 -0.396752 0.744983
35.4 -0.359598 0.721888
35.5 -0.323597 0.693959
35.6 -0.288989 0.661695
35.7 -0.255991 0.625631
35.8 -0.224791 0.586332
35.9 -0.195553 0.544385
36 -0.168407 0.500397
36.1 -0.143455 0.454985
36.2 -0.120768 0.40877
36.3 -0.100386 0.362371
36.4 -0.0823185 0.316398
36.5 -0.0665437 0.271448
36.6 -0.0530108 0.228092
36.7 -0.04164 0.18688
36.8 -0.0323244 0.148323
36.9 -0.0249316 0.112897
37 -0.0193052 0.0810346
37.1 -0.0152675 0.0531193
37.2 -0.0126216 0.029484
37.3 -0.0111541 0.010406
37.4 -0.0106374 -0.00389494
37.5 -0.0108335 -0.0132592
37.6 -0.0114959 -0.017589
37.7 -0.0123737 -0.0168489
37.8 -0.013214 -0.0110664
37.9 -0.0137652 -0.000331617
38 -0.0137804 0.0152042
38.1 -0.0130202 0.0353297
38.2 -0.0112556 0.0597765
38.3 -0.00827116 0.0882214
38.4 -0.00386755 0.12029
38.5 0.00213595 0.155562
38.6 0.00989903 0.193572
38.7 0.0195582 0.233821
38.8 0.0312251 0.275774
38.9 0.0449847 0.318871
39 0.0608938 0.362533
39.1 0.0789807 0.406164
39.2 0.0992437 0.449162
39.3 0.121651 0.490924
39.4 0.146141 0.530849
39.5 0.172623 0.568352
39.6 0.200974 0.602862
39.7 0.231046 0.633835
39.8 0.262663 0.660755
