Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: leap-frog
21.3 4.61362 2.83387
21.4 4.87229 2.36987
21.5 5.08352 1.8805
21.6 5.24502 1.37055
21.7 5.35499 0.845062
21.8 5.41215 0.309224
21.9 5.41575 -0.231641
22 5.36554 -0.77214
22.1 5.26184 -1.30687
22.2 5.10549 -1.83045
22.3 4.89787 -2.33761
22.4 4.64087 -2.82322
22.5 4.33687 -3.28235
22.6 3.98876 -3.71031
22.7 3.59985 -4.10272
22.8 3.17388 -4.45552
22.9 2.71498 -4.76507
23 2.22762 -5.02811
23.1 1.71656 -5.24186
23.2 1.18682 -5.40402
23.3 0.643627 -5.51281
23.4 0.0923548 -5.56696
23.5 -0.461524 -5.56575
23.6 -1.01249 -5.50904
23.7 -1.55505 -5.3972
23.8 -2.08376 -5.23119
23.9 -2.5933 -5.0125
24 -3.07853 -4.74316
24.1 -3.53455 -4.42571
24.2 -3.95672 -4.06317
24.3 -4.34072 -3.65905
24.4 -4.68261 -3.21727
24.5 -4.97887 -2.74212
24.6 -5.22641 -2.23827
24.7 -5.42262 -1.71068
24.8 -5.5654 -1.16455
24.9 -5.65318 -0.605292
25 -5.68493 -0.0384667
25.1 -5.66018 0.53028
25.2 -5.57902 1.09527
25.3 -5.44213 1.65083
25.4 -5.2507 2.19139
25.5 -5.00651 2.7115
25.6 -4.71186 3.20591
25.7 -4.36956 3.6696
25.8 -3.9829 4.09785
25.9 -3.55563 4.4863
26 -3.0919 4.83095
26.1 -2.59626 5.12826
26.2 -2.07357 5.37512
26.3 -1.52898 5.56895
26.4 -0.967868 5.70767
26.5 -0.395802 5.78977
26.6 0.18154 5.81428
26.7 0.758409 5.78083
26.8 1.32905 5.6896
26.9 1.88774 5.54138
27 2.42889 5.33752
27.1 2.94706 5.07993
27.2 3.43702 4.77105
27.3 3.89381 4.41387
27.4 4.31282 4.01183
27.5 4.68976 3.56888
27.6 5.02078 3.08933
27.7 5.30249 2.57792
27.8 5.53196 2.03968
27.9 5.70679 1.47993
28 5.82513 0.904234
28.1 5.88566 0.318309
28.2 5.88768 -0.272007
28.3 5.83102 -0.86082
28.4 5.71615 -1.44224
28.5 5.54409 -2.01044
28.6 5.31645 -2.5597
28.7 5.03538 -3.0845
28.8 4.70358 -3.57955
28.9 4.32427 -4.03983
29 3.90114 -4.46067
29.1 3.43833 -4.83779
29.2 2.94039 -5.16733
29.3 2.41222 -5.4459
29.4 1.85903 -5.67063
29.5 1.28631 -5.83917
29.6 0.69973 -5.94972
29.7 0.105124 -6.00107
29.8 -0.491587 -5.9926
29.9 -1.08445 -5.92429
30 -1.66753 -5.79672
30.1 -2.23501 -5.61104
30.2 -2.78117 -5.36902
30.3 -3.30054 -5.07297
30.4 -3.78788 -4.72577
30.5 -4.23827 -4.33079
30.6 -4.64715 -3.8919
30.7 -5.01038 -3.41342
30.8 -5.32423 -2.90006
30.9 -5.58551 -2.3569
31 -5.79152 -1.78931
31.1 -5.9401 -1.20294
31.2 -6.02968 -0.603621
31.3 -6.05928 0.00268633
31.4 -6.0285 0.609925
31.5 -5.93756 1.21203
31.6 -5.78727 1.80296
31.7 -5.57903 2.37681
31.8 -5.31484 2.9278
31.9 -4.99725 3.45039
32 -4.62935 3.93931
32.1 -4.21475 4.38963
32.2 -3.7575 4.79678
32.3 -3.26212 5.15662
32.4 -2.73349 5.4655
32.5 -2.17684 5.72025
32.6 -1.5977 5.91824
32.7 -1.00182 6.05741
32.8 -0.39511 6.13628
32.9 0.21637 6.15399
33 0.826525 6.11027
33.1 1.42926 6.00547
33.2 2.01855 5.84055
33.3 2.58848 5.61708
33.4 3.13335 5.33722
33.5 3.64767 5.00369
33.6 4.12627 4.61974
33.7 4.56432 4.18916
33.8 4.9574 3.71618
33.9 5.30152 3.20548
34 5.59318 2.66211
34.1 5.8294 2.09147
34.2 6.00775 1.49923
34.3 6.12638 0.891271
34.4 6.18404 0.273662
34.5 6.18006 -0.347437
34.6 6.11442 -0.965822
34.7 5.98769 -1.57531
34.8 5.80107 -2.16979
34.9 5.55635 -2.7433
35 5.2559 -3.2901
35.1 4.90266 -3.80467
35.2 4.50011 -4.28183
35.3 4.05219 -4.71679
35.4 3.56333 -5.10512
35.5 3.03837 -5.44291
35.6 2.48252 -5.72671
35.7 1.90128 -5.95363
35.8 1.30044 -6.12134
35.9 0.685969 -6.22809
36 0.0639993 -6.27276
36.1 -0.559269 -6.25481
36.2 -1.17761 -6.17438
36.3 -1.78485 -6.03219
36.4 -2.3749 -5.82959
36.5 -2.94186 -5.56857
36.6 -3.48004 -5.25165
36.7 -3.98402 -4.88194
36.8 -4.44876 -4.46311
36.9 -4.86955 -3.99926
37 -5.24216 -3.49501
37.1 -5.56282 -2.95535
37.2 -5.82826 -2.38563
37.3 -6.03579 -1.79153
37.4 -6.18328 -1.17896
