Wähle das Verfahren (n = 50000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
0.212 0.10564 0.995053
0.213 0.106138 0.995056
0.214 0.106635 0.995059
0.215 0.107133 0.995062
0.216 0.10763 0.995066
0.217 0.108128 0.99507
0.218 0.108625 0.995074
0.219 0.109123 0.995078
0.22 0.109621 0.995083
0.221 0.110118 0.995087
0.222 0.110616 0.995092
0.223 0.111113 0.995098
0.224 0.111611 0.995103
0.225 0.112108 0.995109
0.226 0.112606 0.995115
0.227 0.113103 0.995121
0.228 0.113601 0.995128
0.229 0.114099 0.995134
0.23 0.114596 0.995141
0.231 0.115094 0.995148
0.232 0.115591 0.995156
0.233 0.116089 0.995163
0.234 0.116586 0.995171
0.235 0.117084 0.995179
0.236 0.117582 0.995188
0.237 0.118079 0.995196
0.238 0.118577 0.995205
0.239 0.119074 0.995214
0.24 0.119572 0.995224
0.241 0.12007 0.995233
0.242 0.120567 0.995243
0.243 0.121065 0.995253
0.244 0.121562 0.995263
0.245 0.12206 0.995274
0.246 0.122558 0.995284
0.247 0.123055 0.995295
0.248 0.123553 0.995306
0.249 0.124051 0.995318
0.25 0.124548 0.99533
0.251 0.125046 0.995341
0.252 0.125544 0.995354
0.253 0.126041 0.995366
0.254 0.126539 0.995379
0.255 0.127037 0.995391
0.256 0.127534 0.995404
0.257 0.128032 0.995418
0.258 0.12853 0.995431
0.259 0.129028 0.995445
0.26 0.129525 0.995459
0.261 0.130023 0.995473
0.262 0.130521 0.995488
0.263 0.131018 0.995502
0.264 0.131516 0.995517
0.265 0.132014 0.995533
0.266 0.132512 0.995548
0.267 0.13301 0.995564
0.268 0.133507 0.99558
0.269 0.134005 0.995596
0.27 0.134503 0.995612
0.271 0.135001 0.995629
0.272 0.135498 0.995645
0.273 0.135996 0.995662
0.274 0.136494 0.99568
0.275 0.136992 0.995697
0.276 0.13749 0.995715
0.277 0.137988 0.995733
0.278 0.138486 0.995751
0.279 0.138983 0.995769
0.28 0.139481 0.995788
0.281 0.139979 0.995807
0.282 0.140477 0.995826
0.283 0.140975 0.995845
0.284 0.141473 0.995865
0.285 0.141971 0.995885
0.286 0.142469 0.995905
0.287 0.142967 0.995925
0.288 0.143465 0.995946
0.289 0.143963 0.995966
0.29 0.144461 0.995987
0.291 0.144959 0.996008
0.292 0.145457 0.99603
0.293 0.145955 0.996051
0.294 0.146453 0.996073
0.295 0.146951 0.996095
0.296 0.147449 0.996118
0.297 0.147947 0.99614
0.298 0.148445 0.996163
0.299 0.148943 0.996186
0.3 0.149441 0.996209
0.301 0.149939 0.996233
0.302 0.150437 0.996256
0.303 0.150935 0.99628
0.304 0.151434 0.996304
0.305 0.151932 0.996329
0.306 0.15243 0.996353
0.307 0.152928 0.996378
0.308 0.153426 0.996403
0.309 0.153924 0.996429
0.31 0.154423 0.996454
0.311 0.154921 0.99648
0.312 0.155419 0.996506
0.313 0.155917 0.996532
0.314 0.156416 0.996558
0.315 0.156914 0.996585
0.316 0.157412 0.996612
0.317 0.157911 0.996639
0.318 0.158409 0.996666
0.319 0.158907 0.996694
0.32 0.159406 0.996721
0.321 0.159904 0.996749
0.322 0.160402 0.996778
0.323 0.160901 0.996806
0.324 0.161399 0.996835
0.325 0.161898 0.996863
0.326 0.162396 0.996893
0.327 0.162894 0.996922
0.328 0.163393 0.996951
0.329 0.163891 0.996981
0.33 0.16439 0.997011
0.331 0.164888 0.997041
0.332 0.165387 0.997072
0.333 0.165885 0.997102
0.334 0.166384 0.997133
0.335 0.166882 0.997164
0.336 0.167381 0.997196
0.337 0.16788 0.997227
0.338 0.168378 0.997259
0.339 0.168877 0.997291
0.34 0.169376 0.997323
0.341 0.169874 0.997355
0.342 0.170373 0.997388
0.343 0.170872 0.997421
0.344 0.17137 0.997454
0.345 0.171869 0.997487
0.346 0.172368 0.997521
0.347 0.172867 0.997555
0.348 0.173365 0.997589
0.349 0.173864 0.997623
0.35 0.174363 0.997657
0.351 0.174862 0.997692
0.352 0.175361 0.997726
0.353 0.175859 0.997762
0.354 0.176358 0.997797
0.355 0.176857 0.997832
0.356 0.177356 0.997868
0.357 0.177855 0.997904
0.358 0.178354 0.99794
0.359 0.178853 0.997976
0.36 0.179352 0.998013
0.361 0.179851 0.99805
0.362 0.18035 0.998087
0.363 0.180849 0.998124
0.364 0.181348 0.998161
0.365 0.181847 0.998199
0.366 0.182346 0.998237
0.367 0.182845 0.998275
0.368 0.183345 0.998313
0.369 0.183844 0.998352
0.37 0.184343 0.99839
0.371 0.184842 0.998429
0.372 0.185341 0.998468
0.373 0.185841 0.998508
0.374 0.18634 0.998547
0.375 0.186839 0.998587
0.376 0.187338 0.998627
0.377 0.187838 0.998667
0.378 0.188337 0.998708
0.379 0.188836 0.998749
0.38 0.189336 0.998789
0.381 0.189835 0.99883
0.382 0.190335 0.998872
0.383 0.190834 0.998913
0.384 0.191333 0.998955
0.385 0.191833 0.998997
0.386 0.192332 0.999039
0.387 0.192832 0.999081
0.388 0.193331 0.999124
0.389 0.193831 0.999167
0.39 0.194331 0.99921
0.391 0.19483 0.999253
0.392 0.19533 0.999296
0.393 0.195829 0.99934
0.394 0.196329 0.999384
0.395 0.196829 0.999428
0.396 0.197329 0.999472
0.397 0.197828 0.999516
0.398 0.198328 0.999561
0.399 0.198828 0.999606
0.4 0.199328 0.999651
0.401 0.199827 0.999696
0.402 0.200327 0.999742
0.403 0.200827 0.999787
0.404 0.201327 0.999833
0.405 0.201827 0.999879
0.406 0.202327 0.999926
0.407 0.202827 0.999972
0.408 0.203327 1.00002
0.409 0.203827 1.00007
0.41 0.204327 1.00011
0.411 0.204827 1.00016
0.412 0.205327 1.00021
0.413 0.205827 1.00026
0.414 0.206327 1.0003
0.415 0.206827 1.00035
0.416 0.207328 1.0004
0.417 0.207828 1.00045
0.418 0.208328 1.0005
0.419 0.208828 1.00055
0.42 0.209329 1.0006
0.421 0.209829 1.00064
0.422 0.210329 1.00069
0.423 0.21083 1.00074
0.424 0.21133 1.00079
0.425 0.21183 1.00084
0.426 0.212331 1.00089
0.427 0.212831 1.00095
0.428 0.213332 1.001
0.429 0.213832 1.00105
0.43 0.214333 1.0011
0.431 0.214833 1.00115
0.432 0.215334 1.0012
0.433 0.215834 1.00125
0.434 0.216335 1.00131
0.435 0.216836 1.00136
0.436 0.217336 1.00141
0.437 0.217837 1.00146
0.438 0.218338 1.00152
0.439 0.218839 1.00157
0.44 0.219339 1.00162
0.441 0.21984 1.00168
0.442 0.220341 1.00173
0.443 0.220842 1.00178
0.444 0.221343 1.00184
0.445 0.221844 1.00189
0.446 0.222345 1.00195
0.447 0.222846 1.002
0.448 0.223347 1.00205
0.449 0.223848 1.00211
0.45 0.224349 1.00216
0.451 0.22485 1.00222
0.452 0.225351 1.00228
0.453 0.225852 1.00233
0.454 0.226353 1.00239
0.455 0.226854 1.00244
0.456 0.227356 1.0025
0.457 0.227857 1.00256
0.458 0.228358 1.00261
0.459 0.228859 1.00267
0.46 0.229361 1.00273
0.461 0.229862 1.00279
0.462 0.230363 1.00284
0.463 0.230865 1.0029
0.464 0.231366 1.00296
0.465 0.231868 1.00302
0.466 0.232369 1.00307
0.467 0.232871 1.00313
0.468 0.233372 1.00319
0.469 0.233874 1.00325
0.47 0.234376 1.00331
0.471 0.234877 1.00337
0.472 0.235379 1.00343
0.473 0.235881 1.00349
0.474 0.236382 1.00355
0.475 0.236884 1.00361
0.476 0.237386 1.00367
0.477 0.237888 1.00373
0.478 0.23839 1.00379
0.479 0.238892 1.00385
0.48 0.239394 1.00391
0.481 0.239896 1.00397
0.482 0.240398 1.00403
0.483 0.2409 1.0041
0.484 0.241402 1.00416
0.485 0.241904 1.00422
0.486 0.242406 1.00428
0.487 0.242908 1.00434
0.488 0.24341 1.00441
0.489 0.243912 1.00447
0.49 0.244415 1.00453
0.491 0.244917 1.00459
0.492 0.245419 1.00466
0.493 0.245921 1.00472
0.494 0.246424 1.00479
0.495 0.246926 1.00485
0.496 0.247429 1.00491
0.497 0.247931 1.00498
0.498 0.248434 1.00504
0.499 0.248936 1.00511
0.5 0.249439 1.00517
0.501 0.249941 1.00524
0.502 0.250444 1.0053
0.503 0.250946 1.00537
0.504 0.251449 1.00543
0.505 0.251952 1.0055
0.506 0.252455 1.00556
0.507 0.252957 1.00563
0.508 0.25346 1.0057
0.509 0.253963 1.00576
0.51 0.254466 1.00583
0.511 0.254969 1.0059
0.512 0.255472 1.00596
0.513 0.255975 1.00603
0.514 0.256478 1.0061
0.515 0.256981 1.00616
0.516 0.257484 1.00623
0.517 0.257987 1.0063
0.518 0.25849 1.00637
0.519 0.258993 1.00644
0.52 0.259497 1.0065
0.521 0.26 1.00657
0.522 0.260503 1.00664
0.523 0.261006 1.00671
0.524 0.26151 1.00678
0.525 0.262013 1.00685
0.526 0.262517 1.00692
0.527 0.26302 1.00699
0.528 0.263524 1.00706
0.529 0.264027 1.00713
0.53 0.264531 1.0072
0.531 0.265034 1.00727
0.532 0.265538 1.00734
0.533 0.266042 1.00741
0.534 0.266545 1.00748
0.535 0.267049 1.00755
0.536 0.267553 1.00762
0.537 0.268057 1.00769
0.538 0.26856 1.00776
0.539 0.269064 1.00784
0.54 0.269568 1.00791
0.541 0.270072 1.00798
0.542 0.270576 1.00805
0.543 0.27108 1.00813
0.544 0.271584 1.0082
0.545 0.272088 1.00827
0.546 0.272593 1.00834
0.547 0.273097 1.00842
0.548 0.273601 1.00849
0.549 0.274105 1.00856
0.55 0.274609 1.00864
0.551 0.275114 1.00871
0.552 0.275618 1.00878
0.553 0.276122 1.00886
0.554 0.276627 1.00893
0.555 0.277131 1.00901
0.556 0.277636 1.00908
0.557 0.27814 1.00916
0.558 0.278645 1.00923
0.559 0.27915 1.00931
0.56 0.279654 1.00938
0.561 0.280159 1.00946
0.562 0.280664 1.00953
0.563 0.281168 1.00961
0.564 0.281673 1.00969
0.565 0.282178 1.00976
0.566 0.282683 1.00984
0.567 0.283188 1.00991
0.568 0.283693 1.00999
0.569 0.284198 1.01007
0.57 0.284703 1.01014
0.571 0.285208 1.01022
0.572 0.285713 1.0103
0.573 0.286218 1.01038
0.574 0.286723 1.01045
0.575 0.287229 1.01053
0.576 0.287734 1.01061
0.577 0.288239 1.01069
0.578 0.288745 1.01077
0.579 0.28925 1.01084
0.58 0.289755 1.01092
0.581 0.290261 1.011
0.582 0.290766 1.01108
0.583 0.291272 1.01116
0.584 0.291777 1.01124
0.585 0.292283 1.01132
0.586 0.292789 1.0114
0.587 0.293294 1.01148
0.588 0.2938 1.01156
0.589 0.294306 1.01164
0.59 0.294812 1.01172
0.591 0.295318 1.0118
0.592 0.295824 1.01188
0.593 0.296329 1.01196
0.594 0.296835 1.01204
0.595 0.297341 1.01212
0.596 0.297847 1.0122
0.597 0.298354 1.01228
0.598 0.29886 1.01237
0.599 0.299366 1.01245
0.6 0.299872 1.01253
0.601 0.300378 1.01261
0.602 0.300885 1.01269
0.603 0.301391 1.01277
0.604 0.301897 1.01286
0.605 0.302404 1.01294
0.606 0.30291 1.01302
0.607 0.303417 1.01311
0.608 0.303923 1.01319
0.609 0.30443 1.01327
0.61 0.304937 1.01335
0.611 0.305443 1.01344
0.612 0.30595 1.01352
0.613 0.306457 1.01361
0.614 0.306964 1.01369
0.615 0.30747 1.01377
0.616 0.307977 1.01386
0.617 0.308484 1.01394
0.618 0.308991 1.01403
0.619 0.309498 1.01411
0.62 0.310005 1.0142
0.621 0.310512 1.01428
0.622 0.31102 1.01437
0.623 0.311527 1.01445
0.624 0.312034 1.01454
0.625 0.312541 1.01462
0.626 0.313049 1.01471
0.627 0.313556 1.01479
0.628 0.314063 1.01488
0.629 0.314571 1.01497
0.63 0.315078 1.01505
0.631 0.315586 1.01514
0.632 0.316093 1.01523
0.633 0.316601 1.01531
0.634 0.317109 1.0154
0.635 0.317616 1.01549
0.636 0.318124 1.01557
0.637 0.318632 1.01566
0.638 0.31914 1.01575
0.639 0.319647 1.01584
0.64 0.320155 1.01592
0.641 0.320663 1.01601
0.642 0.321171 1.0161
0.643 0.321679 1.01619
0.644 0.322188 1.01628
0.645 0.322696 1.01636
0.646 0.323204 1.01645
0.647 0.323712 1.01654
0.648 0.32422 1.01663
0.649 0.324729 1.01672
0.65 0.325237 1.01681
0.651 0.325745 1.0169
0.652 0.326254 1.01699
0.653 0.326762 1.01708
0.654 0.327271 1.01717
0.655 0.327779 1.01726
0.656 0.328288 1.01735
0.657 0.328797 1.01744
0.658 0.329305 1.01753
0.659 0.329814 1.01762
0.66 0.330323 1.01771
0.661 0.330832 1.0178
0.662 0.331341 1.01789
0.663 0.33185 1.01798
0.664 0.332359 1.01807
0.665 0.332868 1.01816
0.666 0.333377 1.01825
0.667 0.333886 1.01834
0.668 0.334395 1.01844
0.669 0.334904 1.01853
0.67 0.335414 1.01862
0.671 0.335923 1.01871
0.672 0.336432 1.0188
0.673 0.336942 1.0189
0.674 0.337451 1.01899
0.675 0.337961 1.01908
0.676 0.33847 1.01917
0.677 0.33898 1.01927
0.678 0.339489 1.01936
0.679 0.339999 1.01945
0.68 0.340509 1.01955
0.681 0.341019 1.01964
0.682 0.341528 1.01973
0.683 0.342038 1.01983
0.684 0.342548 1.01992
0.685 0.343058 1.02001
0.686 0.343568 1.02011
0.687 0.344078 1.0202
0.688 0.344588 1.0203
0.689 0.345098 1.02039
0.69 0.345609 1.02048
0.691 0.346119 1.02058
0.692 0.346629 1.02067
0.693 0.34714 1.02077
0.694 0.34765 1.02086
0.695 0.34816 1.02096
0.696 0.348671 1.02105
0.697 0.349181 1.02115
0.698 0.349692 1.02124
0.699 0.350203 1.02134
0.7 0.350713 1.02144
0.701 0.351224 1.02153
0.702 0.351735 1.02163
0.703 0.352246 1.02172
0.704 0.352756 1.02182
0.705 0.353267 1.02192
0.706 0.353778 1.02201
0.707 0.354289 1.02211
0.708 0.3548 1.02221
0.709 0.355311 1.0223
0.71 0.355823 1.0224
0.711 0.356334 1.0225
0.712 0.356845 1.02259
0.713 0.357356 1.02269
0.714 0.357868 1.02279
0.715 0.358379 1.02289
0.716 0.35889 1.02298
0.717 0.359402 1.02308
0.718 0.359914 1.02318
0.719 0.360425 1.02328
0.72 0.360937 1.02337
0.721 0.361448 1.02347
0.722 0.36196 1.02357
0.723 0.362472 1.02367
0.724 0.362984 1.02377
0.725 0.363496 1.02387
0.726 0.364008 1.02397
0.727 0.36452 1.02406
0.728 0.365032 1.02416
0.729 0.365544 1.02426
0.73 0.366056 1.02436
0.731 0.366568 1.02446
0.732 0.36708 1.02456
0.733 0.367593 1.02466
0.734 0.368105 1.02476
0.735 0.368617 1.02486
0.736 0.36913 1.02496
0.737 0.369642 1.02506
0.738 0.370155 1.02516
0.739 0.370667 1.02526
0.74 0.37118 1.02536
0.741 0.371693 1.02546
0.742 0.372205 1.02556
0.743 0.372718 1.02566
0.744 0.373231 1.02576
0.745 0.373744 1.02586
0.746 0.374257 1.02596
0.747 0.37477 1.02606
0.748 0.375283 1.02617
0.749 0.375796 1.02627
0.75 0.376309 1.02637
0.751 0.376822 1.02647
0.752 0.377335 1.02657
0.753 0.377849 1.02667
0.754 0.378362 1.02677
0.755 0.378875 1.02688
0.756 0.379389 1.02698
0.757 0.379902 1.02708
0.758 0.380416 1.02718
0.759 0.380929 1.02728
0.76 0.381443 1.02739
0.761 0.381957 1.02749
0.762 0.38247 1.02759
0.763 0.382984 1.02769
0.764 0.383498 1.0278
0.765 0.384012 1.0279
0.766 0.384526 1.028
0.767 0.38504 1.02811
0.768 0.385554 1.02821
0.769 0.386068 1.02831
0.77 0.386582 1.02842
0.771 0.387097 1.02852
0.772 0.387611 1.02862
0.773 0.388125 1.02873
0.774 0.388639 1.02883
0.775 0.389154 1.02893
0.776 0.389668 1.02904
0.777 0.390183 1.02914
0.778 0.390697 1.02925
0.779 0.391212 1.02935
0.78 0.391727 1.02946
0.781 0.392241 1.02956
0.782 0.392756 1.02966
0.783 0.393271 1.02977
0.784 0.393786 1.02987
0.785 0.394301 1.02998
0.786 0.394816 1.03008
0.787 0.395331 1.03019
0.788 0.395846 1.03029
0.789 0.396361 1.0304
0.79 0.396876 1.0305
0.791 0.397392 1.03061
0.792 0.397907 1.03071
0.793 0.398422 1.03082
0.794 0.398938 1.03093
0.795 0.399453 1.03103
0.796 0.399969 1.03114
0.797 0.400484 1.03124
0.798 0.401 1.03135
0.799 0.401516 1.03145
0.8 0.402031 1.03156
0.801 0.402547 1.03167
0.802 0.403063 1.03177
0.803 0.403579 1.03188
0.804 0.404095 1.03199
0.805 0.404611 1.03209
0.806 0.405127 1.0322
0.807 0.405643 1.03231
0.808 0.406159 1.03241
0.809 0.406675 1.03252
0.81 0.407191 1.03263
0.811 0.407708 1.03273
0.812 0.408224 1.03284
0.813 0.408741 1.03295
0.814 0.409257 1.03305
0.815 0.409774 1.03316
0.816 0.41029 1.03327
0.817 0.410807 1.03338
0.818 0.411323 1.03348
0.819 0.41184 1.03359
0.82 0.412357 1.0337
0.821 0.412874 1.03381
0.822 0.413391 1.03392
0.823 0.413908 1.03402
0.824 0.414425 1.03413
0.825 0.414942 1.03424
0.826 0.415459 1.03435
0.827 0.415976 1.03446
0.828 0.416493 1.03456
