Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
1.64 0.996877 -0.0691553 0.499273
1.65 0.996036 -0.0791277 0.499174
1.66 0.995095 -0.0890923 0.499076
1.67 0.994055 -0.099048 0.498978
1.68 0.992915 -0.108994 0.49888
1.69 0.991676 -0.118929 0.498783
1.7 0.990338 -0.128852 0.498686
1.71 0.988901 -0.138762 0.49859
1.72 0.987365 -0.148658 0.498494
1.73 0.98573 -0.158539 0.498399
1.74 0.983997 -0.168405 0.498305
1.75 0.982165 -0.178253 0.498211
1.76 0.980235 -0.188084 0.498118
1.77 0.978207 -0.197896 0.498026
1.78 0.976082 -0.207688 0.497935
1.79 0.973858 -0.21746 0.497844
1.8 0.971537 -0.227209 0.497754
1.81 0.969119 -0.236936 0.497666
1.82 0.966605 -0.24664 0.497578
1.83 0.963993 -0.256318 0.497491
1.84 0.961285 -0.265971 0.497405
1.85 0.958481 -0.275598 0.49732
1.86 0.955581 -0.285196 0.497236
1.87 0.952586 -0.294767 0.497154
1.88 0.949495 -0.304308 0.497072
1.89 0.946309 -0.313818 0.496992
1.9 0.943029 -0.323297 0.496912
1.91 0.939654 -0.332744 0.496834
1.92 0.936186 -0.342157 0.496758
1.93 0.932624 -0.351536 0.496682
1.94 0.928968 -0.36088 0.496608
1.95 0.92522 -0.370188 0.496536
1.96 0.921379 -0.379459 0.496464
1.97 0.917446 -0.388692 0.496395
1.98 0.913421 -0.397886 0.496326
1.99 0.909305 -0.407041 0.496259
2 0.905098 -0.416154 0.496194
2.01 0.900801 -0.425226 0.49613
2.02 0.896413 -0.434256 0.496067
2.03 0.891936 -0.443242 0.496007
2.04 0.88737 -0.452184 0.495947
2.05 0.882714 -0.46108 0.49589
2.06 0.877971 -0.469931 0.495834
2.07 0.87314 -0.478734 0.49578
2.08 0.868221 -0.48749 0.495727
2.09 0.863216 -0.496196 0.495676
2.1 0.858124 -0.504854 0.495627
2.11 0.852947 -0.51346 0.49558
2.12 0.847684 -0.522016 0.495534
2.13 0.842336 -0.530519 0.49549
2.14 0.836904 -0.538969 0.495448
2.15 0.831389 -0.547365 0.495408
2.16 0.82579 -0.555707 0.49537
2.17 0.820109 -0.563993 0.495333
2.18 0.814346 -0.572222 0.495299
2.19 0.808501 -0.580394 0.495266
2.2 0.802576 -0.588509 0.495235
2.21 0.79657 -0.596564 0.495206
2.22 0.790484 -0.60456 0.495179
2.23 0.78432 -0.612495 0.495154
2.24 0.778077 -0.620369 0.495131
2.25 0.771756 -0.628181 0.49511
2.26 0.765358 -0.63593 0.49509
2.27 0.758884 -0.643616 0.495073
2.28 0.752334 -0.651237 0.495058
2.29 0.745708 -0.658793 0.495044
2.3 0.739008 -0.666283 0.495033
2.31 0.732234 -0.673707 0.495024
2.32 0.725387 -0.681063 0.495016
2.33 0.718467 -0.688351 0.495011
2.34 0.711475 -0.69557 0.495008
2.35 0.704413 -0.70272 0.495006
