Wähle das Verfahren (n = 500) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: exp. Euler
0 0 1
0.1  0.1 0.909983
0.2  0.189998 0.819852
0.3  0.271084 0.740319
0.4  0.344305 0.670823
0.5  0.410655 0.610663
0.6  0.471057 0.559024
0.7  0.526356 0.515001
0.8  0.577303 0.477624
0.9  0.624556 0.445879
1  0.668671 0.41873
1.1  0.710103 0.39514
1.2  0.749203 0.374091
1.3  0.786221 0.354598
1.4  0.821311 0.33573
1.5  0.854533 0.316617
1.6  0.885862 0.29647
1.7  0.915196 0.274583
1.8  0.942361 0.25035
1.9  0.967124 0.223264
2  0.989203 0.192926
2.1  1.00827 0.159047
2.2  1.02399 0.121448
2.3  1.03598 0.0800608
2.4  1.04386 0.0349245
2.5  1.04728 -0.0138168
2.6  1.04586 -0.0659198
2.7  1.03928 -0.121048
2.8  1.02724 -0.178781
2.9  1.00949 -0.238619
3  0.985801 -0.299995
3.1  0.956039 -0.362286
3.2  0.920108 -0.42482
3.3  0.877985 -0.48689
3.4  0.829717 -0.547762
3.5  0.775424 -0.606692
3.6  0.715297 -0.662931
3.7  0.649606 -0.71574
3.8  0.578689 -0.7644
3.9  0.502958 -0.808223
4  0.422893 -0.846561
4.1  0.339037 -0.878816
4.2  0.251994 -0.904449
4.3  0.16242 -0.922986
4.4  0.071017 -0.934028
4.5  -0.0214717 -0.937254
4.6  -0.114272 -0.932426
4.7  -0.206587 -0.919397
4.8  -0.297603 -0.898106
4.9  -0.386504 -0.868589
5  -0.472474 -0.830971
5.1  -0.554711 -0.785471
5.2  -0.632436 -0.732397
5.3  -0.704898 -0.672145
5.4  -0.771388 -0.605196
5.5  -0.831243 -0.532107
5.6  -0.883855 -0.453512
5.7  -0.92868 -0.370109
5.8  -0.965243 -0.282656
5.9  -0.993143 -0.191963
6  -1.01206 -0.0988829
6.1  -1.02176 -0.00430235
6.2  -1.02209 0.0908678
6.3  -1.013 0.185702
6.4  -0.994523 0.279268
6.5  -0.966781 0.370643
6.6  -0.929994 0.458914
6.7  -0.88447 0.543196
6.8  -0.830606 0.622638
6.9  -0.768881 0.696431
7  -0.699855 0.763819
7.1  -0.624163 0.824107
7.2  -0.54251 0.876668
7.3  -0.455659 0.920947
7.4  -0.364433 0.956472
7.5  -0.269698 0.982858
7.6  -0.17236 0.999808
7.7  -0.0733525 1.00712
7.8  0.0263694 1.00469
7.9  0.125841 0.9925
8  0.224096 0.970649
8.1  0.320178 0.939321
8.2  0.41315 0.898796
8.3  0.5021 0.849452
8.4  0.586155 0.791751
8.5  0.66449 0.726244
8.6  0.736331 0.65356
8.7  0.800968 0.574402
8.8  0.857762 0.48954
8.9  0.906148 0.3998
9  0.945644 0.306062
9.1  0.975856 0.209247
9.2  0.996478 0.110307
9.3  1.0073 0.0102175
9.4  1.00822 -0.0900312
9.5  0.999204 -0.189447
9.6  0.980349 -0.287044
9.7  0.951834 -0.381854
9.8  0.913933 -0.472933
9.9  0.867019 -0.559376
10  0.81155 -0.64032
10.1  0.748073 -0.714958
10.2  0.677212 -0.782544
10.3  0.599666 -0.842402
10.4  0.516202 -0.893932
10.5  0.427643 -0.936617
10.6  0.334867 -0.970027
10.7  0.238792 -0.993824
10.8  0.14037 -1.00777
10.9  0.0405778 -1.01171
11  -0.0595956 -1.00562
11.1  -0.159156 -0.989536
11.2  -0.257114 -0.963624
11.3  -0.352497 -0.928136
11.4  -0.444356 -0.883421
11.5  -0.53178 -0.829921
11.6  -0.613898 -0.768166
11.7  -0.689893 -0.698767
11.8  -0.75901 -0.622414
11.9  -0.82056 -0.539865
12  -0.873931 -0.45194
12.1  -0.918592 -0.359514
12.2  -0.954096 -0.263507
12.3  -0.980092 -0.164875
12.4  -0.99632 -0.0645988
12.5  -1.00262 0.0363213
12.6  -0.998922 0.13688
12.7  -0.985271 0.236075
12.8  -0.9618 0.332917
12.9  -0.928743 0.42644
13  -0.88643 0.515712
13.1  -0.835282 0.599842
13.2  -0.775809 0.67799
13.3  -0.708605 0.749376
13.4  -0.634339 0.813288
13.5  -0.553753 0.869088
13.6  -0.46765 0.916218
13.7  -0.376889 0.954207
13.8  -0.282376 0.982677
13.9  -0.185054 1.00134
14  -0.0858928 1.01001
14.1  0.014117 1.00861
14.2  0.113978 0.997138
14.3  0.212693 0.975716
14.4  0.309277 0.944556
14.5  0.402767 0.90397
14.6  0.492229 0.854361
14.7  0.576771 0.796225
14.8  0.655548 0.730142
14.9  0.727774 0.656771
15  0.792729 0.576845
15.1  0.849764 0.491161
15.2  0.89831 0.400576
15.3  0.937882 0.305992
15.4  0.968086 0.208355
15.5  0.988619 0.108639
15.6  0.999278 0.00784087
15.7  0.999955 -0.0930339
15.8  0.990645 -0.192978
15.9  0.97144 -0.290992
16  0.942533 -0.386099
16.1  0.904212 -0.477348
16.2  0.856861 -0.563828
16.3  0.800951 -0.644675
16.4  0.737043 -0.719081
16.5  0.665774 -0.786304
16.6  0.587856 -0.845672
16.7  0.504068 -0.896592
16.8  0.415247 -0.938555
16.9  0.32228 -0.971143
17  0.226095 -0.994029
17.1  0.127654 -1.00699
17.2  0.0279397 -1.00988
17.3  -0.0720515 -1.00269
17.4  -0.171321 -0.985484
17.5  -0.268876 -0.958432
17.6  -0.363744 -0.921806
17.7  -0.454976 -0.875971
17.8  -0.541661 -0.821385
17.9  -0.622932 -0.758595
18  -0.697979 -0.688226
18.1  -0.766051 -0.610983
18.2  -0.826469 -0.527636
18.3  -0.878628 -0.439019
18.4  -0.922009 -0.346017
18.5  -0.956177 -0.249558
18.6  -0.980791 -0.150607
18.7  -0.995605 -0.0501516
18.8  -1.00047 0.0508039
18.9  -0.995343 0.151251
19  -0.980269 0.250186
19.1  -0.955402 0.346621
19.2  -0.920988 0.439593
19.3  -0.877373 0.528172
19.4  -0.824992 0.611473
19.5  -0.764368 0.688665
19.6  -0.696108 0.758975
19.7  -0.620893 0.821702
19.8  -0.539475 0.87622
19.9  -0.452667 0.921982
20  -0.361337 0.958532
20.1  -0.266397 0.985506
20.2  -0.168796 1.00263
20.3  -0.069509 1.00974
20.4  0.0304722 1.00676
20.5  0.130149 0.993723
20.6  0.228524 0.970755
20.7  0.324616 0.938089
20.8  0.417464 0.89605
20.9  0.50614 0.845058
21  0.589759 0.785623
21.1  0.667485 0.718338
21.2  0.738542 0.643877
21.3  0.802219 0.562982
21.4  0.85788 0.476462
21.5  0.90497 0.385182
21.6  0.943017 0.290054
21.7  0.971642 0.192028
21.8  0.990559 0.0920834
21.9  0.999578 -0.00878106
22  0.99861 -0.109558
22.1  0.987664 -0.209239
22.2  0.966849 -0.30683
22.3  0.936374 -0.401355
22.4  0.896544 -0.49187
