Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: leap-frog
0 0 1
1.64 0.993551 -0.0713781 0.496119
1.65 0.992787 -0.081307 0.496119
1.66 0.991925 -0.0912272 0.496119
1.67 0.990963 -0.101138 0.496118
1.68 0.989902 -0.111038 0.496118
1.69 0.988742 -0.120926 0.496117
1.7 0.987484 -0.130802 0.496117
1.71 0.986127 -0.140664 0.496116
1.72 0.984671 -0.150512 0.496115
1.73 0.983117 -0.160344 0.496114
1.74 0.981464 -0.17016 0.496113
1.75 0.979714 -0.179958 0.496112
1.76 0.977865 -0.189738 0.49611
1.77 0.975919 -0.199498 0.496109
1.78 0.973876 -0.209237 0.496107
1.79 0.971735 -0.218956 0.496105
1.8 0.969497 -0.228652 0.496103
1.81 0.967162 -0.238324 0.4961
1.82 0.964731 -0.247973 0.496098
1.83 0.962203 -0.257596 0.496095
1.84 0.959579 -0.267192 0.496092
1.85 0.956859 -0.276762 0.496089
1.86 0.954044 -0.286303 0.496085
1.87 0.951134 -0.295816 0.496081
1.88 0.948128 -0.305298 0.496077
1.89 0.945028 -0.314749 0.496073
1.9 0.941834 -0.324168 0.496068
1.91 0.938545 -0.333555 0.496063
1.92 0.935163 -0.342907 0.496058
1.93 0.931688 -0.352225 0.496052
1.94 0.928119 -0.361507 0.496046
1.95 0.924458 -0.370753 0.49604
1.96 0.920705 -0.379961 0.496034
1.97 0.91686 -0.38913 0.496027
1.98 0.912923 -0.39826 0.49602
1.99 0.908895 -0.40735 0.496012
2 0.904776 -0.416399 0.496004
2.01 0.900568 -0.425405 0.495996
2.02 0.896269 -0.434369 0.495987
2.03 0.891881 -0.443289 0.495978
2.04 0.887404 -0.452164 0.495969
2.05 0.882838 -0.460993 0.495959
2.06 0.878185 -0.469776 0.495949
2.07 0.873443 -0.478511 0.495938
2.08 0.868615 -0.487198 0.495927
2.09 0.8637 -0.495836 0.495916
2.1 0.858699 -0.504424 0.495904
2.11 0.853612 -0.512961 0.495891
2.12 0.848441 -0.521446 0.495879
2.13 0.843184 -0.529879 0.495866
2.14 0.837844 -0.538258 0.495852
2.15 0.83242 -0.546583 0.495838
2.16 0.826913 -0.554853 0.495823
2.17 0.821324 -0.563067 0.495809
2.18 0.815653 -0.571224 0.495793
2.19 0.8099 -0.579324 0.495777
2.2 0.804067 -0.587366 0.495761
2.21 0.798154 -0.595348 0.495744
2.22 0.792161 -0.60327 0.495727
2.23 0.786089 -0.611132 0.495709
2.24 0.779939 -0.618932 0.495691
2.25 0.773711 -0.62667 0.495672
2.26 0.767407 -0.634345 0.495653
2.27 0.761025 -0.641956 0.495634
2.28 0.754569 -0.649502 0.495614
2.29 0.748036 -0.656984 0.495593
2.3 0.74143 -0.664399 0.495572
2.31 0.734749 -0.671747 0.49555
2.32 0.727996 -0.679027 0.495528
2.33 0.72117 -0.68624 0.495506
2.34 0.714272 -0.693383 0.495483
2.35 0.707303 -0.700457 0.495459
2.36 0.700264 -0.70746 0.495435
2.37 0.693155 -0.714393 0.49541
2.38 0.685977 -0.721253 0.495385
2.39 0.678731 -0.728041 0.49536
2.4 0.671417 -0.734756 0.495334
2.41 0.664037 -0.741397 0.495307
2.42 0.656591 -0.747964 0.49528
2.43 0.649079 -0.754455 0.495253
2.44 0.641503 -0.760871 0.495225
2.45 0.633863 -0.76721 0.495197
2.46 0.62616 -0.773472 0.495168
2.47 0.618394 -0.779657 0.495138
2.48 0.610568 -0.785763 0.495108
2.49 0.60268 -0.79179 0.495078
2.5 0.594733 -0.797738 0.495047
2.51 0.586727 -0.803606 0.495016
2.52 0.578662 -0.809393 0.494984
2.53 0.57054 -0.815099 0.494952
2.54 0.562361 -0.820724 0.494919
2.55 0.554127 -0.826265 0.494886
2.56 0.545837 -0.831724 0.494852
2.57 0.537494 -0.8371 0.494818
2.58 0.529097 -0.842391 0.494783
2.59 0.520647 -0.847598 0.494748
2.6 0.512146 -0.85272 0.494713
2.61 0.503594 -0.857757 0.494677
2.62 0.494992 -0.862707 0.49464
2.63 0.486341 -0.867571 0.494604
2.64 0.477642 -0.872348 0.494566
2.65 0.468895 -0.877037 0.494529
2.66 0.460102 -0.881639 0.494491
2.67 0.451264 -0.886152 0.494452
2.68 0.442381 -0.890576 0.494413
2.69 0.433454 -0.894911 0.494374
2.7 0.424484 -0.899156 0.494334
2.71 0.415472 -0.903312 0.494294
2.72 0.406419 -0.907376 0.494254
2.73 0.397326 -0.91135 0.494213
2.74 0.388193 -0.915232 0.494172
2.75 0.379022 -0.919023 0.49413
2.76 0.369814 -0.922721 0.494089
2.77 0.360569 -0.926327 0.494046
2.78 0.351289 -0.929841 0.494004
2.79 0.341974 -0.933261 0.493961
2.8 0.332625 -0.936587 0.493918
2.81 0.323244 -0.93982 0.493874
2.82 0.31383 -0.942959 0.49383
2.83 0.304386 -0.946003 0.493786
2.84 0.294912 -0.948952 0.493742
2.85 0.285408 -0.951807 0.493697
2.86 0.275877 -0.954566 0.493652
2.87 0.266318 -0.957229 0.493607
