Wähle das Verfahren (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog:
0 0 1
Verfahren: Runge-Kutter
0.1 00.05 0.995
0.2 0.050.099625 0.985038
0.3 0.0996250.148753 0.972662
0.4 0.1487530.197263 0.957917
0.5 0.1972630.245038 0.940851
0.6 0.2450380.291961 0.921518
0.7 0.2919610.337919 0.899978
0.8 0.3379190.382803 0.876296
0.9 0.3828030.426506 0.850541
1 0.4265060.468924 0.822789
1.1 0.4689240.509957 0.793118
1.2 0.5099570.549511 0.761614
1.3 0.5495110.587492 0.728362
1.4 0.5874920.623815 0.693456
1.5 0.6238150.658397 0.656991
1.6 0.6583970.691161 0.619066
1.7 0.6911610.722032 0.579782
1.8 0.7220320.750944 0.539246
1.9 0.7509440.777834 0.497564
2 0.7778340.802645 0.454847
2.1 0.8026450.825325 0.411206
2.2 0.8253250.845829 0.366756
2.3 0.8458290.864115 0.32161
2.4 0.8641150.88015 0.275887
2.5 0.880150.893904 0.229702
2.6 0.8939040.905355 0.183174
2.7 0.9053550.914485 0.136421
2.8 0.9144850.921283 0.0895602
2.9 0.9212830.925744 0.04271
3 0.9257440.927869 -0.00401274
3.1 0.9278690.927663 -0.0504918
3.2 0.9276630.925139 -0.0966122
3.3 0.9251390.920314 -0.142261
3.4 0.9203140.913214 -0.187325
3.5 0.9132140.903865 -0.231696
3.6 0.9038650.892304 -0.275265
3.7 0.8923040.878569 -0.317929
3.8 0.8785690.862707 -0.359585
3.9 0.8627070.844768 -0.400133
4 0.8447680.824806 -0.439478
4.1 0.8248060.802882 -0.477528
4.2 0.8028820.77906 -0.514194
4.3 0.779060.75341 -0.549391
4.4 0.753410.726005 -0.583038
4.5 0.7260050.696921 -0.61506
4.6 0.6969210.666241 -0.645384
4.7 0.6662410.634048 -0.673942
4.8 0.6340480.600432 -0.700673
4.9 0.6004320.565482 -0.725519
5 0.5654820.529294 -0.748427
5.1 0.5292940.491963 -0.769349
5.2 0.4919630.453589 -0.788243
5.3 0.4535890.414272 -0.805072
5.4 0.4142720.374117 -0.819805
5.5 0.3741170.333227 -0.832414
5.6 0.3332270.291709 -0.842879
5.7 0.2917090.249669 -0.851184
5.8 0.2496690.207214 -0.85732
5.9 0.2072140.164455 -0.861282
6 0.1644550.121497 -0.863071
6.1 0.1214970.0784512 -0.862694
6.2 0.07845120.0354241 -0.860161
6.3 0.0354241-0.00747637 -0.855491
6.4 -0.00747637-0.0501437 -0.848706
6.5 -0.0501437-0.0924723 -0.839832
6.6 -0.0924723-0.134358 -0.828904
6.7 -0.134358-0.175699 -0.815957
6.8 -0.175699-0.216393 -0.801036
6.9 -0.216393-0.256343 -0.784187
7 -0.256343-0.295453 -0.765461
7.1 -0.295453-0.333628 -0.744915
7.2 -0.333628-0.370778 -0.72261
7.3 -0.370778-0.406816 -0.69861
7.4 -0.406816-0.441656 -0.672983
7.5 -0.441656-0.475218 -0.645802
7.6 -0.475218-0.507424 -0.617143
7.7 -0.507424-0.538201 -0.587083
7.8 -0.538201-0.567478 -0.555707
7.9 -0.567478-0.59519 -0.523098
8 -0.59519-0.621276 -0.489344
8.1 -0.621276-0.645678 -0.454536
8.2 -0.645678-0.668344 -0.418765
8.3 -0.668344-0.689225 -0.382127
8.4 -0.689225-0.70828 -0.344716
8.5 -0.70828-0.725468 -0.30663
8.6 -0.725468-0.740756 -0.267969
8.7 -0.740756-0.754116 -0.22883
8.8 -0.754116-0.765525 -0.189316
8.9 -0.765525-0.774962 -0.149525
9 -0.774962-0.782414 -0.10956
9.1 -0.782414-0.787874 -0.0695209
9.2 -0.787874-0.791336 -0.029508
9.3 -0.791336-0.792803 0.0103787
9.4 -0.792803-0.79228 0.0500399
9.5 -0.79228-0.78978 0.0893777
9.6 -0.78978-0.785317 0.128295
9.7 -0.785317-0.778913 0.166698
9.8 -0.778913-0.770595 0.204491
9.9 -0.770595-0.760391 0.241585
10 -0.760391-0.748337 0.277889
10.1 -0.748337-0.734473 0.313316
10.2 -0.734473-0.718842 0.347784
10.3 -0.718842-0.701492 0.381209
10.4 -0.701492-0.682474 0.413515
10.5 -0.682474-0.661846 0.444625
10.6 -0.661846-0.639667 0.474468
10.7 -0.639667-0.615999 0.502975
10.8 -0.615999-0.590909 0.530083
10.9 -0.590909-0.564468 0.55573
11 -0.564468-0.536747 0.579859
11.1 -0.536747-0.507824 0.602418
11.2 -0.507824-0.477775 0.623358
11.3 -0.477775-0.446682 0.642635
11.4 -0.446682-0.414628 0.660209
11.5 -0.414628-0.381698 0.676045
11.6 -0.381698-0.347978 0.690111
11.7 -0.347978-0.313557 0.702382
11.8 -0.313557-0.278524 0.712835
11.9 -0.278524-0.24297 0.721455
12 -0.24297-0.206986 0.728227
12.1 -0.206986-0.170664 0.733145
12.2 -0.170664-0.134098 0.736205
12.3 -0.134098-0.097379 0.73741
12.4 -0.097379-0.0606003 0.736765
12.5 -0.0606003-0.023854 0.734282
12.6 -0.0238540.0127683 0.729975
12.7 0.01276830.0491754 0.723865
12.8 0.04917540.0852776 0.715975
12.9 0.08527760.120986 0.706335
13 0.1209860.156214 0.694978
13.1 0.1562140.190874 0.68194
13.2 0.1908740.224885 0.667262
13.3 0.2248850.258163 0.650989
13.4 0.2581630.290629 0.633171
13.5 0.2906290.322207 0.613858
13.6 0.3222070.35282 0.593108
13.7 0.352820.382399 0.570978
13.8 0.3823990.410874 0.547532
13.9 0.4108740.43818 0.522834
14 0.438180.464253 0.496952
14.1 0.4642530.489036 0.469957
14.2 0.4890360.512471 0.441923
