Wähle das Verfahren (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog:
0 0 1
Verfahren: exp. Euler
0.1  0.1 0.99
0.2  0.198 0.9602
0.3  0.29304 0.921096
0.4  0.384199 0.873172
0.5  0.470605 0.816996
0.6  0.55144 0.753211
0.7  0.625953 0.682532
0.8  0.693461 0.605735
0.9  0.75336 0.523648
1  0.805125 0.437146
1.1  0.848322 0.347137
1.2  0.882604 0.254557
1.3  0.907717 0.160357
1.4  0.923501 0.0654955
1.5  0.929893 -0.0290723
1.6  0.926922 -0.122404
1.7  0.914711 -0.213578
1.8  0.893476 -0.301704
1.9  0.863518 -0.385932
2  0.825224 -0.465459
2.1  0.779061 -0.539536
2.2  0.725569 -0.607476
2.3  0.665356 -0.668663
2.4  0.599092 -0.722551
2.5  0.5275 -0.768674
2.6  0.451348 -0.80665
2.7  0.371445 -0.836179
2.8  0.288626 -0.857051
2.9  0.203749 -0.869144
3  0.117683 -0.872425
3.1  0.0313014 -0.866949
3.2  -0.0545296 -0.852858
3.3  -0.138957 -0.830379
3.4  -0.221151 -0.799821
3.5  -0.300311 -0.76157
3.6  -0.375676 -0.716087
3.7  -0.446531 -0.663897
3.8  -0.512212 -0.60559
3.9  -0.572115 -0.541811
4  -0.625697 -0.473251
4.1  -0.672486 -0.400644
4.2  -0.712083 -0.324757
4.3  -0.744162 -0.246381
4.4  -0.76848 -0.166325
4.5  -0.784869 -0.0854065
4.6  -0.793246 -0.00444302
4.7  -0.793606 0.0757553
4.8  -0.786027 0.154394
4.9  -0.770663 0.230702
5  -0.747747 0.303941
5.1  -0.717582 0.373407
5.2  -0.680543 0.438445
5.3  -0.637069 0.498448
5.4  -0.587659 0.552867
5.5  -0.532866 0.601212
5.6  -0.473293 0.643062
5.7  -0.409582 0.678063
5.8  -0.342413 0.705933
5.9  -0.272491 0.726466
6  -0.200544 0.739528
6.1  -0.127311 0.745064
6.2  -0.0535368 0.743094
6.3  0.020035 0.733714
6.4  0.0926706 0.717089
6.5  0.163653 0.69346
6.6  0.232289 0.663133
6.7  0.297916 0.626478
6.8  0.359908 0.583925
6.9  0.41768 0.535957
7  0.470698 0.48311
7.1  0.518479 0.425961
7.2  0.560598 0.365123
7.3  0.596689 0.301242
7.4  0.626452 0.234988
7.5  0.649653 0.167046
7.6  0.666126 0.0981134
7.7  0.675772 0.0288889
7.8  0.678565 -0.0399322
7.9  0.674544 -0.107666
8  0.663817 -0.173645
8.1  0.64656 -0.237229
8.2  0.62301 -0.297804
8.3  0.593465 -0.354795
8.4  0.558281 -0.407669
8.5  0.517866 -0.455937
8.6  0.472676 -0.499163
8.7  0.423212 -0.536965
8.8  0.37001 -0.56902
8.9  0.31364 -0.595064
9  0.254697 -0.614896
9.1  0.193797 -0.628382
9.2  0.131568 -0.635449
9.3  0.068645 -0.63609
9.4  0.00566522 -0.630364
9.5  -0.0567414 -0.618392
9.6  -0.117957 -0.600356
9.7  -0.17738 -0.576496
9.8  -0.234435 -0.547111
9.9  -0.288576 -0.512547
10  -0.339289 -0.473204
10.1  -0.386103 -0.429523
10.2  -0.428587 -0.381983
10.3  -0.46636 -0.331098
10.4  -0.499092 -0.277412
10.5  -0.526506 -0.221488
10.6  -0.548381 -0.163909
10.7  -0.564553 -0.105266
10.8  -0.574918 -0.0461568
10.9  -0.57943 0.0128227
11  -0.578102 0.0710841
11.1  -0.571007 0.128052
11.2  -0.558273 0.18317
11.3  -0.540083 0.235905
11.4  -0.516675 0.285753
11.5  -0.488334 0.332246
11.6  -0.455392 0.374951
11.7  -0.418227 0.413479
11.8  -0.37725 0.447488
11.9  -0.332911 0.476681
12  -0.285687 0.500816
12.1  -0.236077 0.519701
12.2  -0.184603 0.533201
12.3  -0.131798 0.541233
12.4  -0.0782026 0.543773
12.5  -0.0243612 0.54085
12.6  0.0291853 0.532547
12.7  0.0819045 0.519002
12.8  0.133278 0.500402
12.9  0.182804 0.476984
13  0.230007 0.449031
13.1  0.274438 0.416867
13.2  0.315681 0.380856
13.3  0.353354 0.341396
13.4  0.387117 0.298917
13.5  0.416671 0.253874
